ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
7636;Protectia digitala 7UT57 include urmatoarele functii auxiliare:;procesarea semnalizarilor;inregistrarea avariilor cu memorarea datelor pentru scurtcircuite;locator de defect;masurarea operationala a curentilor;functii de monitorizare;ABDE;PROFESIONALA;6
7637;La senzorii cu fibre optice parametrii luminii ce pot fi influentati de marimea de masurat sunt:;amplitudinea;tensiunea;faza;frecventa;starea de polarizare;ACDE;PROFESIONALA;6
7638;Elementele principale ale unui sistem de comunicatii prin fibre optice sunt:;fibra de sticla;fototranzistorul;fotodioda detectoare;dioda laser;-;ACD;PROFESIONALA;2
7639;Se numeste pauza de RAR intervalul de timp in care linia ramane fara tensiune si se defineste prin relatia:;trar = timpul de declansare a intrerupatorului + timpul de stingere a arcului electric;trar= timpul de declansare a intrerupatorului + timpul reglat al schemei;trar= timpul de anclansare a intrerupatorului + timpul reglat al schemei;trar = timpul reglat al schemei;-;C;PROFESIONALA;3
7640;Ce conditii trebuie sa indeplineasca curentul de pornire al protectiei diferentiale a liniilor cu dublu circuit?;curentul de pornire trebuie sa fie mai mare decat curentul maxim de dezechilibru care strabate protectia in cazul scurtcircuitelor exterioare;curentul de pornire trebuie sa fie mai mare decat curentul maxim de dezechilibru care strabate protectia in cazul scurtcircuitelor din interiorul zonei protejate;curentul de pornire trebuie sa fie mai mare decat curentul de sarcina totala al ambelor linii;curentul de pornire nu trebuie sa fie mai mic decat curentul maxim de sarcina totala al ambelor linii;-;ACD;PROFESIONALA;6
7641;Protectiile selective contra punerilor la pamant sunt:;protectiile maximale de curent homopolar;protectiile homopolare directionate;protectiile cu relee sensibile la curenti homopolari de armonici superioare;protectiile de distanta;-;ABCD;PROFESIONALA;3
7642;La o punere la pamant, apar pe langa curentii capacitivi de frecventa de 50Hz si curenti de armonici:;pare de ordin 2, 4, 6;impare de ordin 1, 3, 5;de ordin 2, 3, 5;pare de ordin 4, 6, 8;impare de ordin 3, 5, 7;E;PROFESIONALA;2
7643;In scopul reducerii costului instalatiilor electrice cu tensiunea sub 50kV, in locul intrerupatoarelor si al protectiei prin relee se pot folosi sigurante fuzibile daca acestea:;pot fi alese cu parametri necesari;asigura sensibilitatea si selectivitatea necesara;impiedica operativitatea de manevrare sau utilizarea automatizarilor atunci cand sunt necesare din conditiile de functionare a instalatiilor electrice;-;-;AB;PROFESIONALA;2
7644;Bateriile de condensatoare conectate la barele de medie tensiune prin intrerupatoare si transformatoare de curent, trebuie protejate cu relee integrate, avand urmatoarele functii de protectie:;protectie maximala de curent trifazata;protectie maximala de curent homopolar;protectie minimala de tensiune;protectie maximala de tensiune;protectie diferentiala transversala de curent homopolar la bateriile de condensatoare realizate cu o schema de conexiune in dubla stea;ABCDE;PROFESIONALA;2
7645;In statiile cu tensiunea de 110kV sau mai mare, celulele cu transformatoare de curent si intrerupator de cupla transversala, cupla longitudinala sau cupla longo-transversala vor fi de regula prevazute cu cate un releu numeric incluzand urmatoarele functii:;protectie de distanta cu blocare la pendulatii;protectie maximala de curent;protectie diferentiala longitudinala;protectie maximala de curent homopolar directionata;protectie rapida la conectarea intrerupatorului pe defect;ABDE;PROFESIONALA;5
7646;Reanclansarea automata rapida va fi blocata:;inainte de deconectarea intrerupatorului de catre personal, prin comanda de la distanta;dupa declansarea prin protectie, imediat dupa conectarea intrerupatorului de catre personal;dupa deconectarea intrerupatorului de catre personal, prin comanda de la distanta;in alte situatii in care nu se admite reanclansarea automata dupa actionarea unor protectii sau automatizari;-;BCD;PROFESIONALA;3
7647;In sistemele electromagnetice, obiectivele sistemelor de protectie si automatizare sunt:;detectarea defectelor si declansarea/deconectarea automata a elementului defect;detectarea regimurilor anormale, periculoase de functionare a elementelor sistemului;repunerea automata in functiune a liniilor electrice, in cazul unor defecte trecatoare;deconectarea automata a alimentarii pe o cale de rezerva, pentru asigurarea continuitatii alimentarii consumatorilor;reglarea automata a unor parametri ai sistemului electric;ABCE;PROFESIONALA;2
7648;La releul de distanta D114 in functie de pozitia fisei R de pe panoul frontal al releului, domeniul de masurare poate fi astfel:;fisa R pe pozitia 1- domeniu de masurare nemodificat;fisa R pe pozita 1,5 ‚?? domeniul de masurare marit cu 35% fata de cel reglat pe releu, in toate treptele;fisa R pe pozitia 1,5 ‚?? domeniul de masurare marit cu 50% fata de cel reglat pe releu, in toate treptele;fisa R pe pozitia 1/1,5 si punte 25 si 28 la bornele releului ‚?? prelungirea domeniului de masurare cu 35% numai in treapta I;-;ACD;PROFESIONALA;2
7649;In anumite situatii curentul diferential poate atinge in regim normal de functionare valori nepermis de mari care ar putea produce actionarea protectiilor daca nu se iau masuri impotriva:;actiunii curentului de magnetizare;diferenta de faza dintre tensiunile din primarul si secundarul transformatorului;inegalitatii curentilor din secundarul tranformatorului de putere;curentilor de dezechilibru produsi in special de diferenta dintre curentii de magnetizare ai transformatoarelor de curent care alimenteaza releele diferentiale;-;AD;PROFESIONALA;2
7650;Domeniul de reglaj a functiei fmin a automatizarii DASf trebuie sa acopere gama:;50-48,2 Hz in trepte de 0,2Hz;50-47 Hz in trepte de 0,2Hz;50-46 Hz in trepte de 0,1Hz;50-48,2 Hz in trepte de 0,1Hz;-;C;PROFESIONALA;2
7661;Domeniul de reglaj a functiei df/dt a automatizarii DASf trebuie sa acopere gama:;0,3-9 Hz/s;0,1-10 Hz/s;0,3-10 Hz/s;0,2-10 Hz/s;-;D;PROFESIONALA;2
7662;Protectia de rezerva a liniilor de 110 kV din retelele de distributie realizata cu un releu numeric integrat separat va avea urmatoarele functii principale:;protectie de distanta impotriva tuturor tipurilor de scurtcircuite;protectie maximala de curent (pe trei faze si nul), directionata cu minim doua trepte de curent si timp;protectie maximala de curent homopolar, directionata cu minim doua trepte de curent si timp;protectie diferentiala de linie in cazul liniilor scurte de interconexiune cu surse de alimentare de tip centrala electrica;-;BC;PROFESIONALA;2
7663;La o punere la pamint monofazata pe o linie dintr-o retea cu neutrul izolat , urmatoarele observatii sunt false:;Curentul homopolar de pe liniile sanatoase are acelasi sens conventional cu curentului homopolar al liniei defecte;Curentul homopolar al liniei defecte este defazat cu 90 grade in urma, in raport cu tensiunea homopolara;Curentul homopolar de pe liniile sanatoase este defazat cu 90 grade in urma tensiunii homopolare;-;-;AC;PROFESIONALA;2
7664;La un dispozitiv RART durata impulsului de reanclansare este data de diferenta de timp realizata de inchiderea contactelor:;RTPf si RTPa;RTPf si RTBf;RTBf si RTPa;-;-;A;PROFESIONALA;2
7666;Pentru evitarea atingerii unor valori prea mari a fluxului de franare in caz de defect, bobina de franre a releului diferential RDS 3 se monteaza:;pe partea sursei mai puternice;pe partea sursei cu aport mai mic la scurtcircuit;pe partea consumatorilor;pe coloana de mijloc a transformatorului cu saturatie rapida;-;BC;PROFESIONALA;2
7667;La transformatoarele de putere 110/MT, in cazul protectiei de cuva impotriva defectelor interne cu punere la pamant, curentul de inchidere la pamint va avea o marime care depinde de:;valoarea tensiunii homopolare de la grupul de masura de MT;modul de tratare a neutrelor la care este racordat transformatorul;regimul de functionare a neutrelor infasurarilor transformatorului;locul defectului la pamint, interior sau exterior transformatorului;-;BCD;PROFESIONALA;2
7668;Pentru a se impiedica actionarea incorecta a protectiei diferentiale transversale a liniilor cu dublu circuit in cazul declansarii unui intreruptor, este necesar:;Alimentarea cu curent continuu a PDT se face prin bloc-contactele inseriate ale ambelor intreruptoare ale celor doua linii din aceiasi statie;Alimentarea cu curent continuu a PDT se face prin bloc-contactele inseriate ale ambelor intreruptoare ale aceleiasi linii din cele doua statii;Alimentarea cu curent alternativ a PDT se face prin bloc-contactele inseriate ale ambelor intreruptoare ale celor doua linii din aceiasi statie;Nu este necesara realizarea nici unei masuri suplimentare;-;A;PROFESIONALA;2
7669;In cazul retelelor cu punctul neutru legat direct la pamint, in cazul unui defect monofazat urmatoarele afirmatii sint adevarate;curentul homopolar, este un vector de sens contrar tensiunii pe faza defecta in functionare normala;curentul homopolar reprezinta curentul pe faza defecta;suma tensiunilor fata de pamint ale celor trei faze, este un vector de sens contrar tensiunii pe faza defecta in functionare normala;-;-;C;PROFESIONALA;2
7670;La realizarea practica a protectiei homopolare cu transformatoare de curent inelare (toroidale) sunt necesare urmatoarele:;cutiile terminale ale cablului trebuie izolate fata de stelajul metalic pe care se fixeaza;cutiile terminale ale cablului nu trebuie izolate fata de stelajul metalic pe care se fixeaza;conductorul de legare la pamint a cutiei terminale, trebuie trecut prin interiorul transformatorului inelar;conductorul de legare la pamint a cutiei terminale, trebuie trecut prin exteriorul transformatorului inelar;-;AC;PROFESIONALA;2
7671;Pentru realizarea selectivitatii si sensibilitatii protectiei homopolare directionale contra punerilor la pamint, este necesar:;protectia trebuie sa aiba curentul de pornire mai mare decit curentul capacitiv al liniei proprii;protectia trebuie sa aiba curentul de pornire mai mic decit curentul capacitiv al liniei proprii;protectia trebuie sa aiba curentul de pornire mai mare decit curentul capacitiv al celorlalte linii din intreaga retea;protectia trebuie sa aiba curentul de pornire mai mic decit curentul capacitiv al celorlalte linii din intreaga retea;-;AD;PROFESIONALA;2
7672;"In legislatia securitatii si sanatatii in munca, ""eveniment"" inseamna (alegeti varianta corecta si suficienta):";accidentul care a antrenat decesul sau vatamari ale organismului, produs in timpul procesului de munca ori in indeplinirea indatoririlor de serviciu;accidentul care a antrenat decesul sau vatamari ale organismului, produs in timpul procesului de munca ori in indeplinirea indatoririlor de serviciu, situatia de persoana data disparuta sau accidentul de traseu ori de circulatie, in conditiile in care au fost implicate persoane angajate, incidentul periculos, precum si cazul susceptibil de boala profesionala sau legata de profesiune.;accidentul care a antrenat decesul sau vatamari ale organismului, produs in timpul procesului de munca ori in indeplinirea indatoririlor de serviciu, accidentul de traseu ori de circulatie, in conditiile in care au fost implicate persoane angajate, incidentul periculos, precum si cazul susceptibil de boala profesionala sau legata de profesiune.;-;-;B;PROTECTIA MUNCII;3
7673;Scopul instruirii introductiv-generale este:;"de a informa despre activitatile specifice intreprinderii si/sau unitatii respective, riscurile pentru securitate si sanatate in munca, precum si masurile si activitatile de prevenire si protective la nivelul intreprinderii si/sau unitatii, in general;";"de a informa despre riscurile pentru securitate si sanatate in munca, precum si masurile si activitatile de prevenire si protective la nivelul intreprinderii si/sau unitatii, in general;";"de a informa despre activitatile specifice intreprinderii si/sau unitatii respective, riscurile pentru securitate si sanatate in munca, masurile si activitatile de prevenire si protective la nivelul intreprinderii si/sau unitatii precum si instuirea cu normele specific de securitate in munca;";-;-;A;PROTECTIA MUNCII;3
7674;Care din urmatoarele obligatii ale salariatilor, la locul de munca, sunt corecte?;"sa respecte regulile si masurile de aparare impotriva incendiilor, aduse la cunostinta, sub orice forma, de administrator sau conducatorul institutiei, dupa caz;";""" sa utilizeze substantele periculoase, instalatiile, utilajele, masinile, aparatura si echipamentele, potrivit instructiunilor tehnice, precum si celor date de administrator sau conducatorul institutiei,† dupa caz; """;"sa nu efectueze manevre nepermise sau modificari neautorizate ale sistemelor si instalatiilor de aparare impotriva incendiilor;";"""sa actioneze, in conformitate cu procedurile stabilite la locul de munca, in cazul aparitiei oricarui pericol imminent de incendiu; """;sa furnizeze persoanelor abilitate toate datele si informatiile de care are cunostinta, referitoare la producerea inxcendiilor.;ABCDE;PROTECTIA MUNCII;3
7675;Utilizarea focului deschis nu se admite la distante mai mici de:;40 m fata de locurile cu pericol de explozie(gaze si lichide combustibile, vapori inflamabili, explozivi etc.), respectiv 10 m fata de materiale sau substante combustibile (lemn, h√?¬¢rtie, textile, bitum, ulei etc.), fara a fi supravegheat si asigurat prin masuri corespunzatoare.;30 m fata de locurile cu pericol de explozie(gaze si lichide combustibile, vapori inflamabili, explozivi etc.), respectiv 15 m fata de materiale sau substante combustibile (lemn, h√?¬¢rtie, textile, bitum, ulei etc.), fara a fi supravegheat si asigurat prin masuri corespunzatoare;40 m fata de locurile cu pericol de explozie(gaze si lichide combustibile, vapori inflamabili, explozivi etc.), respectiv 15 m fata de materiale sau substante combustibile (lemn, h√?¬¢rtie, textile, bitum, ulei etc.), fara a fi supravegheat si asigurat prin masuri corespunzatoare;-;-;A;PROTECTIA MUNCII;3
7676;Ce semnifica semnalizarea de securitate si/sau sanatate?;"semnalizarea care se refera la un obiect, o instalatie, o activitate sau o situatie determinata si furnizeaza informatii ori cerinte referitoare la securitatea si/sau sanatatea la locul de munca, printr-un panou, o culoare, un semnal luminous ori acustic, o comunicare verbala sau un semnal, dupa caz;";"semnalizarea care se refera la un obiect, o activitate sau o situatie determinata si furnizeaza informatii ori cerinte referitoare la securitatea si/sau sanatatea la locul de munca, printr-un panou, o culoare, un semnal luminous ori acustic, o comunicare verbala sau un gest-semnal, dupa caz;";"semnalizarea care se refera la un obiect, o activitate sau o situatie determinata si furnizeaza informatii ori cerinte referitoare la securitatea si/sau sanatatea la locul de munca, printr-un panou, o culoare, un semnal luminous ori acustic, dupa caz;";-;-;B;PROTECTIA MUNCII;3
